lat,lng
33.7683178,-84.4057737
33.7683178,-84.4054737
33.7683178,-84.4051737
33.7683178,-84.4048737
33.7683178,-84.4045737
33.7683178,-84.4042737
33.7683178,-84.4039737
33.7683178,-84.4036737
33.7683178,-84.4033737
33.7683178,-84.4030737
33.7683178,-84.4027737
33.7683178,-84.4024737
33.7683178,-84.4021737
33.7683178,-84.4018737
33.7683178,-84.4015737
33.7683178,-84.4012737
33.7683178,-84.4009737
33.7683178,-84.4006737
33.7683178,-84.4003737
33.7683178,-84.4000737
33.7683178,-84.3997737
33.7683178,-84.3994737
33.7683178,-84.3991737
33.7683178,-84.3988737
33.7683178,-84.3985737
33.7683178,-84.3982737
33.7683178,-84.3979737
33.7683178,-84.3976737
33.7683178,-84.3973737
33.7683178,-84.3970737
33.7683178,-84.3967737
33.7683178,-84.3964737
33.7683178,-84.3961737
33.7683178,-84.3958737
33.7683178,-84.3955737
33.7683178,-84.3952737
33.7683178,-84.3949737
33.7683178,-84.3946737
33.7683178,-84.3943737
33.7683178,-84.3940737
33.7683178,-84.3937737
33.7683178,-84.3934737
33.7683178,-84.3931737
33.7683178,-84.3928737
33.7683178,-84.3925737
33.7683178,-84.3922737
33.7683178,-84.3919737
33.7683178,-84.3916737
33.7683178,-84.3913737
33.7685428,-84.4056737
33.7685428,-84.4053737
33.7685428,-84.4050737
33.7685428,-84.4047737
33.7685428,-84.4044737
33.7685428,-84.4041737
33.7685428,-84.4038737
33.7685428,-84.4035737
33.7685428,-84.4032737
33.7685428,-84.4029737
33.7685428,-84.4026737
33.7685428,-84.4023737
33.7685428,-84.4020737
33.7685428,-84.4017737
33.7685428,-84.4014737
33.7685428,-84.4011737
33.7685428,-84.4008737
33.7685428,-84.4005737
33.7685428,-84.4002737
33.7685428,-84.3999737
33.7685428,-84.3996737
33.7685428,-84.3993737
33.7685428,-84.3990737
33.7685428,-84.3987737
33.7685428,-84.3984737
33.7685428,-84.3981737
33.7685428,-84.3978737
33.7685428,-84.3975737
33.7685428,-84.3972737
33.7685428,-84.3969737
33.7685428,-84.3966737
33.7685428,-84.3963737
33.7685428,-84.3960737
33.7685428,-84.3957737
33.7685428,-84.3954737
33.7685428,-84.3951737
33.7685428,-84.3948737
33.7685428,-84.3945737
33.7685428,-84.3942737
33.7685428,-84.3939737
33.7685428,-84.3936737
33.7685428,-84.3933737
33.7685428,-84.3930737
33.7685428,-84.3927737
33.7685428,-84.3924737
33.7685428,-84.3921737
33.7685428,-84.3918737
33.7685428,-84.3915737
33.7685428,-84.3912737
33.7687678,-84.4055737
33.7687678,-84.4052737
33.7687678,-84.4049737
33.7687678,-84.4046737
33.7687678,-84.4043737
33.7687678,-84.4040737
33.7687678,-84.4037737
33.7687678,-84.4034737
33.7687678,-84.4031737
33.7687678,-84.4028737
33.7687678,-84.4025737
33.7687678,-84.4022737
33.7687678,-84.4019737
33.7687678,-84.4016737
33.7687678,-84.4013737
33.7687678,-84.4010737
33.7687678,-84.4007737
33.7687678,-84.4004737
33.7687678,-84.4001737
33.7687678,-84.3998737
33.7687678,-84.3995737
33.7687678,-84.3992737
33.7687678,-84.3989737
33.7687678,-84.3986737
33.7687678,-84.3983737
33.7687678,-84.3980737
33.7687678,-84.3977737
33.7687678,-84.3974737
33.7687678,-84.3971737
33.7687678,-84.3968737
33.7687678,-84.3965737
33.7687678,-84.3962737
33.7687678,-84.3959737
33.7687678,-84.3956737
33.7687678,-84.3953737
33.7687678,-84.3950737
33.7687678,-84.3947737
33.7687678,-84.3944737
33.7687678,-84.3941737
33.7687678,-84.3938737
33.7687678,-84.3935737
33.7687678,-84.3932737
33.7687678,-84.3929737
33.7687678,-84.3926737
33.7687678,-84.3923737
33.7687678,-84.3920737
33.7687678,-84.3917737
33.7687678,-84.3914737
33.7689928,-84.4057737
33.7689928,-84.4054737
33.7689928,-84.4051737
33.7689928,-84.4048737
33.7689928,-84.4045737
33.7689928,-84.4042737
33.7689928,-84.4039737
33.7689928,-84.4036737
33.7689928,-84.4033737
33.7689928,-84.4030737
33.7689928,-84.4027737
33.7689928,-84.4024737
33.7689928,-84.4021737
33.7689928,-84.4018737
33.7689928,-84.4015737
33.7689928,-84.4012737
33.7689928,-84.4009737
33.7689928,-84.4006737
33.7689928,-84.4003737
33.7689928,-84.4000737
33.7689928,-84.3997737
33.7689928,-84.3994737
33.7689928,-84.3991737
33.7689928,-84.3988737
33.7689928,-84.3985737
33.7689928,-84.3982737
33.7689928,-84.3979737
33.7689928,-84.3976737
33.7689928,-84.3973737
33.7689928,-84.3970737
33.7689928,-84.3967737
33.7689928,-84.3964737
33.7689928,-84.3961737
33.7689928,-84.3958737
33.7689928,-84.3955737
33.7689928,-84.3952737
33.7689928,-84.3949737
33.7689928,-84.3946737
33.7689928,-84.3943737
33.7689928,-84.3940737
33.7689928,-84.3937737
33.7689928,-84.3934737
33.7689928,-84.3931737
